Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Grand Total
Anders Carlson,10,6,4,8,7,0,5,4,8,7,5,5,9,10,8,11,9,5,121
Austin Seibert,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Blake Grupe,12,8,5,9,14,7,10,8,8,3,0,17,4,4,8,2,11,12,142
Brandon Aubrey,10,18,10,12,6,8,0,13,7,7,9,9,15,21,4,8,10,10,177
Brandon McManus,7,9,5,13,5,15,7,16,0,3,10,12,7,3,1,0,14,8,135
Brett Maher,14,11,10,15,2,14,3,0,0,0,0,0,0,0,0,0,0,1,70
Cairo Santos,6,7,4,4,16,9,8,1,5,12,16,14,0,10,5,9,13,11,150
Cameron Dicker,12,10,4,6,0,5,7,14,11,8,8,4,6,1,3,18,13,12,142
Chad Ryland,2,5,9,3,0,5,11,5,5,6,0,1,0,3,5,10,3,3,76
Chase McLaughlin,10,9,3,10,0,6,7,6,15,8,2,8,3,11,10,14,1,11,134
Chris Boswell,1,12,13,6,9,0,8,4,8,11,4,10,4,6,1,12,12,5,126
Daniel Carlson,5,4,4,5,5,13,6,2,12,12,7,5,0,0,9,6,8,9,112
Dustin Hopkins,10,8,11,5,0,15,21,8,9,13,7,6,7,9,8,2,0,0,139
Eddy Piñeiro,4,13,9,9,6,3,0,9,7,7,4,6,4,6,9,6,0,0,102
Evan McPherson,3,6,17,3,10,7,0,9,6,11,10,4,12,10,9,3,5,7,132
Graham Gano,0,7,8,5,12,9,2,4,0,0,0,0,0,0,0,0,0,0,47
Greg Joseph,5,4,6,3,8,11,12,6,11,9,8,4,0,3,6,6,6,8,116
Greg Zuerlein,10,0,6,4,17,12,0,7,6,14,0,1,6,16,0,14,8,9,130
Harrison Butker,8,5,11,11,9,17,7,11,3,0,5,7,7,5,11,2,21,7,147
Jake Elliott,17,12,11,16,11,2,7,10,4,0,3,9,7,9,5,15,7,4,149
Jake Moody,12,14,12,5,6,5,7,5,0,10,9,7,6,4,9,5,9,2,127
Jason Myers,7,7,17,6,0,9,8,6,3,17,14,9,5,4,8,8,11,7,146
Jason Sanders,12,6,10,2,7,6,5,7,2,0,10,12,9,9,12,22,7,2,140
Joey Slye,8,9,5,7,8,6,1,9,8,8,7,4,1,0,2,4,4,4,95
Justin Tucker,5,9,7,4,4,18,8,7,13,7,10,8,0,11,11,15,8,4,149
Ka'imi Fairbairn,9,8,13,12,13,8,0,1,6,0,0,0,0,0,17,2,16,7,112
Lucas Havrisik,0,0,0,0,0,0,0,6,5,0,5,7,10,13,8,12,2,0,68
Mason Crosby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,9,23
Matt Ammendola,0,0,0,0,0,0,0,0,0,12,3,3,10,0,0,0,0,0,28
Matt Gay,3,7,24,1,11,10,8,9,11,6,0,9,13,0,12,4,11,11,150
Matt Prater,12,8,12,4,2,11,4,4,0,17,6,0,8,0,13,6,9,8,124
Matthew Wright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Badgley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,6,25
Nick Folk,17,9,3,11,12,10,0,4,10,6,2,7,8,8,4,5,5,4,125
Randy Bullock,0,0,0,0,0,0,0,0,0,5,7,4,0,6,5,0,0,0,27
Riley Patterson,3,7,8,10,6,8,0,16,0,11,3,0,9,1,0,0,7,2,91
Tyler Bass,12,8,15,14,2,2,5,6,4,2,16,10,0,8,7,6,9,3,129
Wil Lutz,4,9,8,9,7,0,15,6,0,12,17,9,5,6,5,1,10,2,125
Younghoe Koo,6,13,6,1,7,4,12,11,18,5,0,6,7,5,1,17,5,5,129
